LawID,URI,LegislatorID,LegislatorName,LegislatorTitle,LegislatorReligion,LegislatorRuleBegin,LegislatorRuleEnd,TerID,TerShortLabel,TerSeq,TerLabel,TerOrg,TerOrgID,TerType1,TerType2,TerReligion,TerDistrict,TerPublished,TerEditor,TerLitList,TerAbbrevList,TerPreface,Datum,Date1,Date,Year,Month,Day,Form,Scope,RelatesTo,Publication,Archive,Title,Facs,URL,Matters,Dirty,Controlled,Links
ZUR.01.001.1685,,ZUR.01.001,Bürgermeister und Kleiner und Großer Rat der Stadt Zürich,,EV,1336,1798,ZUR,ZUR,01,Zürich,Schweizer Eidgenossenschaft,,Eidgenössischer Ort,WL,EV,,7,Claudia Schott-Volm,,,,1417.00.00,,,1417,0,0,Verordnung,,,,"StAZ, A 42,2",,,,"(ZUR.01.001.1685.04379.0,,5.1,Wasser,,Gräben,,,,,Reinigung,,,,,,)",,,
ZUR.01.001.0806,,ZUR.01.001,Bürgermeister und Kleiner und Großer Rat der Stadt Zürich,,EV,1336,1798,ZUR,ZUR,01,Zürich,Schweizer Eidgenossenschaft,,Eidgenössischer Ort,WL,EV,,7,Claudia Schott-Volm,,,,1463.08.25,,1463-08-25,1463,8,25,Verordnung,,,,"StAZ, A 42.2",,,,"(ZUR.01.001.0806.05102.0,,3.2,Sozialwesen,,Waisen,,,,,Erziehung,,,,,,),(ZUR.01.001.0806.05103.0,,4.6,Handel und Dienstleistungen,,Handelsbedingungen,,,,,Tuch; Wolle,,,,,,),(ZUR.01.001.0806.02893.0,,4.7,Geld- und Kreditwesen,,Münzwesen,,,,,Münzfuß,,,,,,)",,,
ZUR.01.001.1986,,ZUR.01.001,Bürgermeister und Kleiner und Großer Rat der Stadt Zürich,,EV,1336,1798,ZUR,ZUR,01,Zürich,Schweizer Eidgenossenschaft,,Eidgenössischer Ort,WL,EV,,7,Claudia Schott-Volm,,,,1470.06.09,,1470-06-09,1470,6,9,Verordnung,,,,"StAZ, A 42.1",,,,"(ZUR.01.001.1986.05088.0,,4.1,Landwirtschaft,,Weide,,,,,Allmende; Beschränkung; Aufsicht,,,,,,)",,,
ZUR.01.001.1744,,ZUR.01.001,Bürgermeister und Kleiner und Großer Rat der Stadt Zürich,,EV,1336,1798,ZUR,ZUR,01,Zürich,Schweizer Eidgenossenschaft,,Eidgenössischer Ort,WL,EV,,7,Claudia Schott-Volm,,,,1472.08.19,,1472-08-19,1472,8,19,Verordnung,,,,"StAZ, A 42.2",,,,"(ZUR.01.001.1744.04472.0,,1.4,Aufwand und Luxus,,Kleidung,,,,,Bauern; Bürger,,,,,,)",,,
ZUR.01.001.1761,,ZUR.01.001,Bürgermeister und Kleiner und Großer Rat der Stadt Zürich,,EV,1336,1798,ZUR,ZUR,01,Zürich,Schweizer Eidgenossenschaft,,Eidgenössischer Ort,WL,EV,,7,Claudia Schott-Volm,,,,1483.00.00,,,1483,0,0,Verordnung,,,,"StAZ, A 42.3 Buch 1483-1497",,,,"(ZUR.01.001.1761.05004.0,,2.2,Öffentliche Sicherheit; Kriminalität,,Eigentumsschutz,,,,,Diebstahl,,,,,,),(ZUR.01.001.1761.04505.0,,4.1,Landwirtschaft,,Weinbau,,,,,Anbau; Ernteordnung; Wein; Verkauf,,,,,,),(ZUR.01.001.1761.04506.0,,4.2,Forst- und Bodennutzung,,Fischfang,,,,,Fischfrevel,,,,,,),(ZUR.01.001.1761.05005.0,,4.6,Handel und Dienstleistungen,,Maße & Gewichte,,,,,Wein,,,,,,)",,,
ZUR.01.001.1760,,ZUR.01.001,Bürgermeister und Kleiner und Großer Rat der Stadt Zürich,,EV,1336,1798,ZUR,ZUR,01,Zürich,Schweizer Eidgenossenschaft,,Eidgenössischer Ort,WL,EV,,7,Claudia Schott-Volm,,,,1485.05.23,,1485-05-23,1485,5,23,Verordnung,,,,"StAZ, A 42.3 Buch 1483-1497",,,,"(ZUR.01.001.1760.04504.0,,4.2,Forst- und Bodennutzung,,Forst,,,,,Forstfrevel,,,,,,)",,,
ZUR.01.001.1762,,ZUR.01.001,Bürgermeister und Kleiner und Großer Rat der Stadt Zürich,,EV,1336,1798,ZUR,ZUR,01,Zürich,Schweizer Eidgenossenschaft,,Eidgenössischer Ort,WL,EV,,7,Claudia Schott-Volm,,,,1486.00.00,,,1486,0,0,Verordnung,,,,"StAZ, A 42.3 Buch 1483-1497",,,,"(ZUR.01.001.1762.04507.0,,1.1,Religionsangelegenheiten,,Kirchenzucht,,,,,Wallfahrten,,,,,,)",,,
ZUR.01.001.1668,,ZUR.01.001,Bürgermeister und Kleiner und Großer Rat der Stadt Zürich,,EV,1336,1798,ZUR,ZUR,01,Zürich,Schweizer Eidgenossenschaft,,Eidgenössischer Ort,WL,EV,,7,Claudia Schott-Volm,,,,1486.05.11,,1486-05-11,1486,5,11,Verordnung,,,,"StAZ, A 42.3 Buch 1483-1497",,,,"(ZUR.01.001.1668.04360.0,,4.7,Geld- und Kreditwesen,,Münzwesen,,,,,Valvation; Zulässige Sorten,,,,,,)",,,
ZUR.01.001.1880,,ZUR.01.001,Bürgermeister und Kleiner und Großer Rat der Stadt Zürich,,EV,1336,1798,ZUR,ZUR,01,Zürich,Schweizer Eidgenossenschaft,,Eidgenössischer Ort,WL,EV,,7,Claudia Schott-Volm,,,,1488.00.00,,,1488,0,0,Verordnung,,,,"StAZ, A 42.3 Buch 1483-1497",,,,"(ZUR.01.001.1880.04436.0,,4.2,Forst- und Bodennutzung,,Forst,,,,,Forstfrevel; Holzverwendung; Holzzuteilung,,,Geschätztes Datum: 00.00.1488.,,,)",,,
ZUR.01.001.1703,,ZUR.01.001,Bürgermeister und Kleiner und Großer Rat der Stadt Zürich,,EV,1336,1798,ZUR,ZUR,01,Zürich,Schweizer Eidgenossenschaft,,Eidgenössischer Ort,WL,EV,,7,Claudia Schott-Volm,,,,1488.03.17,,1488-03-17,1488,3,17,Verordnung,,,,"StAZ, A 42.1",,,,"(ZUR.01.001.1703.04396.0,,4.1,Landwirtschaft,,Güter,,,,,Bewirtschaftung; Zwang; Förderung,,,,,,)",,,
ZUR.01.001.1763,,ZUR.01.001,Bürgermeister und Kleiner und Großer Rat der Stadt Zürich,,EV,1336,1798,ZUR,ZUR,01,Zürich,Schweizer Eidgenossenschaft,,Eidgenössischer Ort,WL,EV,,7,Claudia Schott-Volm,,,,1488.05.03,,1488-05-03,1488,5,3,Verordnung,,,,"StAZ, A 42.3 Buch 1483-1497",,,,"(ZUR.01.001.1763.05006.0,,4.1,Landwirtschaft,,Tierhaltung/Tiernutzung,,,,,Aufsicht,,,,,,),(ZUR.01.001.1763.04509.0,,4.2,Forst- und Bodennutzung,,Jagd,,,,,Beschränkung; Rebhühner,,,,,,),(ZUR.01.001.1763.04508.0,,4.6,Handel und Dienstleistungen,,Ungeld/Akzise,,,,,Wein,,,,,,)",,,
ZUR.01.001.1741,,ZUR.01.001,Bürgermeister und Kleiner und Großer Rat der Stadt Zürich,,EV,1336,1798,ZUR,ZUR,01,Zürich,Schweizer Eidgenossenschaft,,Eidgenössischer Ort,WL,EV,,7,Claudia Schott-Volm,,,,1488.11.18,,1488-11-18,1488,11,18,Verordnung,Stadt Zürich,,,"StAZ, A 42.2",,,,"(ZUR.01.001.1741.04465.0,,1.4,Aufwand und Luxus,,Aufwand,,,,,Hochzeit; Taufe; Neujahr,,,,,,),(ZUR.01.001.1741.04467.0,,2.1,Vergnügungen; Öffentliche Leichtfertigkeit,,Umzüge/Feste,,,,,Fastnacht; Frauen,,,,,,),(ZUR.01.001.1741.04466.0,,2.4,Policey der Verwaltung und Justiz,,Amtsführung/Amtsmißbrauch,,,,,Bestechlichkeit; Zünfte; Mitglieder,,,,,,)",,,
ZUR.01.001.1742,,ZUR.01.001,Bürgermeister und Kleiner und Großer Rat der Stadt Zürich,,EV,1336,1798,ZUR,ZUR,01,Zürich,Schweizer Eidgenossenschaft,,Eidgenössischer Ort,WL,EV,,7,Claudia Schott-Volm,,,,1488.11.18,,1488-11-18,1488,11,18,Verordnung,,,,"StAZ, A 42.2",,,,"(ZUR.01.001.1742.04469.0,,1.4,Aufwand und Luxus,,Aufwand,,,,,Hochzeit; Kirchweih,,,,,,),(ZUR.01.001.1742.04468.0,,1.4,Aufwand und Luxus,,Kleidung,,,,,Frauen,,,,,,),(ZUR.01.001.1742.04470.0,,2.2,Öffentliche Sicherheit; Kriminalität,,Waffenführung,,,,,Schießverbot,,,,,,)",,,
