LawID,SubLawID,CategoryNumber,MainCategory,SecondaryCategory,SubCategories,Datum,Date1,Date,Year,Month,Day,Archive
BER.01.001.0042,BER.01.001.0042.00130.0,1.3,Randgruppen,Fahrende Leute,Ausweisung; Differenzierung; Fremde; Einheimische,1530.11.30,,1530-11-30,1530,11,30,"StAB, A I 479, fol. 183v-184v"
BER.01.001.0042,BER.01.001.0042.00129.0,1.3,Randgruppen,Zigeuner,Festnahme; Aufenthalt; Verbot; Ausweisung; Diebstahl,1530.11.30,,1530-11-30,1530,11,30,"StAB, A I 479, fol. 183v-184v"
BER.01.001.0102,BER.01.001.0102.00248.0,1.3,Randgruppen,Fahrende Leute,Täufer; Festnahme,1566.05.27,,1566-05-27,1566,5,27,"StAB, A I 480, S. 95-100"
BER.01.001.0075,BER.01.001.0075.00202.0,1.3,Randgruppen,Fahrende Leute,Landstreicher,1566.07.08,,1566-07-08,1566,7,8,"StAB, A I 480, S. 5 f."
BER.01.001.0104,BER.01.001.0104.00251.0,1.3,Randgruppen,Fahrende Leute,Einreiseverbot; Festnahme; Grenzkontrolle; Landesverweisung; Paßkontrolle,1571.04.01,,1571-04-01,1571,4,1,"StAB, A I 480, S. 103 f."
BER.01.001.0105,BER.01.001.0105.00253.0,1.3,Randgruppen,Fahrende Leute,Einreiseverbot; Landesverweisung; Streifen; Überprüfung Fremder; Bettelverbot; Aufenthalt; Verbot; Bedingungen; Einschränkung; Differenzierung; Fremde; Einheimische; Unterstützung; Festnahme; Hausierer; Begleitpersonen; Grenzkontrolle,1571.04.25,,1571-04-25,1571,4,25,"StAB, A I 480, S. 105-115"
BER.01.001.0105,BER.01.001.0105.00255.0,1.3,Randgruppen,Zigeuner,Einreiseverbot; Grenzkontrolle; Festnahme; Aufenthalt; Verbot; Bedingungen; Einschränkung,1571.04.25,,1571-04-25,1571,4,25,"StAB, A I 480, S. 105-115"
BER.01.001.0109,BER.01.001.0109.00259.0,1.3,Randgruppen,Fahrende Leute,Paßkontrolle; Einreiseverbot; Festnahme; Streifen; Aufenthalt; Verbot; Bedingungen; Einschränkung; Krämer; Aussätzige,1571.04.25,,1571-04-25,1571,4,25,"StAB, A I 480, S. 125-128"
BER.01.001.0109,BER.01.001.0109.00259.1,1.3,Randgruppen,Zigeuner,Paßkontrolle; Einreiseverbot; Festnahme; Streifen; Aufenthalt; Verbot; Bedingungen; Einschränkung; Krämer; Aussätzige,1571.04.25,,1571-04-25,1571,4,25,"StAB, A I 480, S. 125-128"
BER.01.001.0133,BER.01.001.0133.00289.0,1.3,Randgruppen,Fahrende Leute,Differenzierung; Fremde; Einheimische; Landesverweisung; Festnahme,1572.01.02,,1572-01-02,1572,1,2,"StAB, A I 480, S. 183 f."
BER.01.001.0110,BER.01.001.0110.00260.0,1.3,Randgruppen,Fahrende Leute,Festnahme,1572.05.05,,1572-05-05,1572,5,5,"StAB, A I 480, S. 131"
BER.01.001.0111,BER.01.001.0111.00262.0,1.3,Randgruppen,Fahrende Leute,Festnahme; Paßkontrolle; Einreiseverbot; Aufenthalt; Verbot; Landesverweisung; Grenzkontrolle; Differenzierung; Fremde; Einheimische,1573.01.28,,1573-01-28,1573,1,28,"StAB, A I 480, S. 135 f."
BER.01.001.0112,BER.01.001.0112.00263.0,1.3,Randgruppen,Fahrende Leute,Festnahme; Einreiseverbot; Landesverweisung; Pässe; Paßkontrolle; Streifen,1573.01.28,,1573-01-28,1573,1,28,"StAB, A I 480, S. 132-134"
BER.01.001.0113,BER.01.001.0113.00266.0,1.3,Randgruppen,Fahrende Leute,Differenzierung; Fremde; Einheimische; Landesverweisung,1573.03.26,,1573-03-26,1573,3,26,"StAB, A I 480, S. 137 f."
BER.01.001.0242,BER.01.001.0242.00420.0,1.3,Randgruppen,Fahrende Leute,Krämer; Landesverweisung,1590.11.23,,1590-11-23,1590,11,23,"StAB, A I 480, S. 468"
BER.01.001.0260,BER.01.001.0260.00440.0,1.3,Randgruppen,Fahrende Leute,Prostituierte,1592.09.05,,1592-09-05,1592,9,5,"StAB, A I 480, S. 474-477"
BER.01.001.0268,BER.01.001.0268.00451.0,1.3,Randgruppen,Fahrende Leute,Differenzierung; Fremde; Einheimische; Festnahme; Landesverweisung; Spielleute; Gaukler,1593.04.07,,1593-04-07,1593,4,7,"StAB, A I 480, S. 502 f."
BER.01.001.0302,BER.01.001.0302.00497.0,1.3,Randgruppen,Fahrende Leute,Streifen; Festnahme; Differenzierung; Fremde; Einheimische; Landesverweisung; Aufenthalt; Verbot; Aussätzige; Überprüfung,1598.05.31,,1598-05-31,1598,5,31,"StAB, A I 480, S. 559-562"
BER.01.001.0302,BER.01.001.0302.00497.1,1.3,Randgruppen,Zigeuner,Streifen; Festnahme; Differenzierung; Fremde; Einheimische; Landesverweisung; Aufenthalt; Verbot; Aussätzige; Überprüfung,1598.05.31,,1598-05-31,1598,5,31,"StAB, A I 480, S. 559-562"
BER.01.001.0312,BER.01.001.0312.00507.0,1.3,Randgruppen,Fahrende Leute,Differenzierung; Fremde; Einheimische; Grenzkontrolle; Pässe; Landesverweisung,1599.07.02,,1599-07-02,1599,7,2,"StAB, A I 480, S. 596"
BER.01.001.0326,BER.01.001.0326.00531.0,1.3,Randgruppen,Fahrende Leute,Bettelverbot; Differenzierung; Fremde; Einheimische; Landesverweisung; Festnahme,1600.06.09,,1600-06-09,1600,6,9,"StAB, A I 481, S. 11"
BER.01.001.0340,BER.01.001.0340.00552.0,1.3,Randgruppen,Fahrende Leute,Einreiseverbot; Festnahme; Grenzkontrolle; Krämer; Landesverweisung; Aussätzige; Prostituierte; Überprüfung,1601.08.06,,1601-08-06,1601,8,6,"StAB, A I 481, S. 34 f."
BER.01.001.0340,BER.01.001.0340.00552.1,1.3,Randgruppen,Zigeuner,Einreiseverbot; Festnahme; Grenzkontrolle; Krämer; Landesverweisung; Aussätzige; Prostituierte; Überprüfung,1601.08.06,,1601-08-06,1601,8,6,"StAB, A I 481, S. 34 f."
BER.01.001.0347,BER.01.001.0347.00567.0,1.3,Randgruppen,Fahrende Leute,Bettelverbot; Differenzierung; Fremde; Einheimische; Landesverweisung; Krämer; Kesselflicker; Fristsetzung,1602.04.10,,1602-04-10,1602,4,10,"StAB, A I 481, S. 50 f."
BER.01.001.0374,BER.01.001.0374.00605.0,1.3,Randgruppen,Fahrende Leute,Hausierer; Krämer; Landesverweisung; Differenzierung; Fremde; Einheimische,1603.05.15,,1603-05-15,1603,5,15,"StAB, A I 481, S. 87"
BER.01.001.0370,BER.01.001.0370.00599.0,1.3,Randgruppen,Fahrende Leute,Bettler; Fahndung,1603.08.10,,1603-08-10,1603,8,10,"StAB, A I 481, S. 82"
BER.01.001.0381,BER.01.001.0381.00617.0,1.3,Randgruppen,Fahrende Leute,Differenzierung; Fremde; Einheimische; Durchzug; Festnahme,1603.12.12,,1603-12-12,1603,12,12,"StAB, A I 481, S. 96-98"
BER.01.001.0380,BER.01.001.0380.00614.0,1.3,Randgruppen,Fahrende Leute,Differenzierung; Fremde; Einheimische; Festnahme; Landesverweisung; Durchzug,1603.12.14,,1603-12-14,1603,12,14,"StAB, A I 481, S. 93-95"
BER.01.001.0395,BER.01.001.0395.00632.0,1.3,Randgruppen,Fahrende Leute,Bettler; Fahndung,1604.11.03,,1604-11-03,1604,11,3,"StAB, A I 481, S. 128"
BER.01.001.0441,BER.01.001.0441.00683.0,1.3,Randgruppen,Fahrende Leute,Differenzierung; Fremde; Einheimische; Krämer; Hausierer; Grenzkontrolle; Festnahme; Landesverweisung; Überprüfung Fremder; Einreiseverbot; Brandmarkung; Schiffe; Kontrolle; Korbflechter,1607.02.22,,1607-02-22,1607,2,22,"StAB, A I 481, S. 196-199"
