LawID,URI,LegislatorID,LegislatorName,LegislatorTitle,LegislatorReligion,LegislatorRuleBegin,LegislatorRuleEnd,TerID,TerShortLabel,TerSeq,TerLabel,TerOrg,TerOrgID,TerType1,TerType2,TerReligion,TerDistrict,TerPublished,TerEditor,TerLitList,TerAbbrevList,TerPreface,Datum,Date1,Date,Year,Month,Day,Form,Scope,RelatesTo,Publication,Archive,Title,Facs,URL,Matters,Dirty,Controlled,Links
BER.01.001.4968,,BER.01.001,Schultheiß und Kleiner und Großer Rat der Stadt Bern,,EV,1528,1798,BER,BER,01,Bern,,,Eidgenössischer Ort,WL,EV,,7,Claudia Schott-Volm,,,,1528.00.00,,,1528,0,0,Verordnung,Stadt Bern,,,"StAB, A I 480, S. 231",Verpott in der Statt Wäldenn khein Holz zefellen.,,,"(BER.01.001.4968.06412.0,,4.2,Forst- und Bodennutzung,,Forst,,,,,Forstfrevel,Kein näheres Datum,,,,,)",,,
BER.01.001.0001,,BER.01.001,Schultheiß und Kleiner und Großer Rat der Stadt Bern,,EV,1528,1798,BER,BER,01,Bern,,,Eidgenössischer Ort,WL,EV,,7,Claudia Schott-Volm,,,,1528.02.07,,1528-02-07,1528,2,7,Ordnung,,,,"StAB, A I 479, fol. 1v-10v",,,,"(BER.01.001.0001.00001.0,,1.1,Religionsangelegenheiten,,Geistlichkeit,,,,,Amtsausübung; Amtsführung; Predigt; Aufsicht; Überwachung; Verhalten; Lebensführung; Verfehlungen; Arbeitsbedingungen; Sakramente,,,,,,),(BER.01.001.0001.00004.0,,1.1,Religionsangelegenheiten,,Kirchenzucht,,,,,Fasten; Toleranz; Messe,,,,,,),(BER.01.001.0001.00002.0,,1.1,Religionsangelegenheiten,,Kirchenorganisation,,,,,Pfarrstellenbesetzung; Abgaben; Vermögen; Stiftungen; Altäre; Kapellen,,,,,,),(BER.01.001.0001.00006.0,,1.1,Religionsangelegenheiten,,Klosterwesen/Orden,,,,,Verbot; Austritt; Bruderschaft,,,,,,),(BER.01.001.0001.00003.0,,1.1,Religionsangelegenheiten,,Konfession,,,,,Angehörige; Ausland; Religionsausübung,,,,,,),(BER.01.001.0001.00008.0,,1.1,Religionsangelegenheiten,,Religiöse Unterweisung,,,,,Predigt; Gottesdienst,,,,,,),(BER.01.001.0001.00007.0,,2.1,Vergnügungen; Öffentliche Leichtfertigkeit,,Zutrinken/Trunksucht,,,,,,,,,,,),(BER.01.001.0001.00005.0,,2.3,Zensur und Buchdruck,,Zensur,,,,,Bilder; Religiös,,,,,,)",,,
BER.01.001.0002,,BER.01.001,Schultheiß und Kleiner und Großer Rat der Stadt Bern,,EV,1528,1798,BER,BER,01,Bern,,,Eidgenössischer Ort,WL,EV,,7,Claudia Schott-Volm,,,,1528.04.27,,1528-04-27,1528,4,27,Ordnung,,,,"StAB, A I 479, fol. 11r-13v",Ordnung der Jarzyten unnd Liechternn ouch annderer Gotsgaben Beziechung.,,,"(BER.01.001.0002.00009.0,,1.1,Religionsangelegenheiten,,Kirchenorganisation,,,,,Gebäude; Stiftungen; Liquidation,,,,,,)",,,
BER.01.001.0003,,BER.01.001,Schultheiß und Kleiner und Großer Rat der Stadt Bern,,EV,1528,1798,BER,BER,01,Bern,,,Eidgenössischer Ort,WL,EV,,7,Claudia Schott-Volm,,,,1528.05.20,,1528-05-20,1528,5,20,Ordnung,,,,"StAB, A I 479, fol. 13v-14r",,,,"(BER.01.001.0003.00010.0,,1.1,Religionsangelegenheiten,,Kirchenorganisation,,,,,Gebäude; Stiftungen; Liquidation,,,,,,)",,,
BER.01.001.0004,,BER.01.001,Schultheiß und Kleiner und Großer Rat der Stadt Bern,,EV,1528,1798,BER,BER,01,Bern,,,Eidgenössischer Ort,WL,EV,,7,Claudia Schott-Volm,,,,1528.06.21,,1528-06-21,1528,6,21,Ordnung,,,,"StAB, A I 479, fol. 14v-15v",Erste Ordnung der Fyrtagenn.,,,"(BER.01.001.0004.00011.0,,1.1,Religionsangelegenheiten,,Feiertage/Religiöse Feste,,,,,Einführung,,,,,,),(BER.01.001.0004.00012.0,,1.1,Religionsangelegenheiten,,Kirchenorganisation,,,,,Geistliche Gerichtsbarkeit; Gericht; Chorgericht,,,,,,),(BER.01.001.0004.00013.0,,2.4,Policey der Verwaltung und Justiz,,Verfahren,,,,,Eidesformel,,,,,,)",,,
BER.01.001.0005,,BER.01.001,Schultheiß und Kleiner und Großer Rat der Stadt Bern,,EV,1528,1798,BER,BER,01,Bern,,,Eidgenössischer Ort,WL,EV,,7,Claudia Schott-Volm,,,,1528.06.28,,1528-06-28,1528,6,28,Ordnung,,,,"StAB, A I 479, fol. 15v-17r","Billder, Alltar und Mässpfaffenn usszerütten etc.",,,"(BER.01.001.0005.00016.0,,1.1,Religionsangelegenheiten,,Geistlichkeit,,,,,Kontrolle,,,,,,),(BER.01.001.0005.00015.0,,1.1,Religionsangelegenheiten,,Konfession,,,,,Einschränkung; Religionsausübung; Messe; Altäre; Ausweisung; Beherbergungsverbot,,,,,,),(BER.01.001.0005.00014.0,,2.3,Zensur und Buchdruck,,Zensur,,,,,Bilder; Religiös,,,,,,)",,,
BER.01.001.0038,,BER.01.001,Schultheiß und Kleiner und Großer Rat der Stadt Bern,,EV,1528,1798,BER,BER,01,Bern,,,Eidgenössischer Ort,WL,EV,,7,Claudia Schott-Volm,,,,1528.08.24,,1528-08-24,1528,8,24,Satzung,,,,"StAB, A I 479, fol. 170r-171r",Satzunng der Pension Miet oder Gabenn unnd frömbder Reyssgelouffenn Anfang.,,,"(BER.01.001.0038.00123.0,,2.2,Öffentliche Sicherheit; Kriminalität,,Kriegslauf/Kriegsdienst,,,,,Verbot; Pensionen,St. Bartlomey,,,,,)",,,
BER.01.001.0006,,BER.01.001,Schultheiß und Kleiner und Großer Rat der Stadt Bern,,EV,1528,1798,BER,BER,01,Bern,,,Eidgenössischer Ort,WL,EV,,7,Claudia Schott-Volm,,,,1528.12.22,,1528-12-22,1528,12,22,Verordnung,,,,"StAB, A I 479, fol. 17r",Mässloser zestraffenn.,,,"(BER.01.001.0006.00017.0,,1.1,Religionsangelegenheiten,,Konfession,,,,,Religionsausübung; Einschränkung; Messe,,,,,,)",,,
BER.01.001.0007,,BER.01.001,Schultheiß und Kleiner und Großer Rat der Stadt Bern,,EV,1528,1798,BER,BER,01,Bern,,,Eidgenössischer Ort,WL,EV,,7,Claudia Schott-Volm,,,,1529.03.08,,1529-03-08,1529,3,8,Ordnung und Satzung,,,,"StAB, A I 479, fol. 18r-19v",Ordnunng unnd Satzung des Eegerichts. Straff des Eebruchs unnd Hury.,,,"(BER.01.001.0007.00018.0,,1.1,Religionsangelegenheiten,,Geistlichkeit,,,,,Amtsausübung; Amtsführung; Taufe; Abendmahl; Vorbereitung; Eheschließung,,,,,,),(BER.01.001.0007.00021.0,,1.5,Sittlichkeit; Ehe- und Familie; Sexualität,,Ehescheidung,,,,,Bedingungen,,,,,,),(BER.01.001.0007.00020.0,,1.5,Sittlichkeit; Ehe- und Familie; Sexualität,,Eheschließung,,,,,Bedingungen; Verbot; Minderjährige,,,,,,),(BER.01.001.0007.00019.0,,1.5,Sittlichkeit; Ehe- und Familie; Sexualität,,Ehebruch,,,,,Verbot,,,,,,),(BER.01.001.0007.00022.0,,1.5,Sittlichkeit; Ehe- und Familie; Sexualität,,Unzucht,,,,,Hurerei,,,,,,),(BER.01.001.0007.00023.0,,2.4,Policey der Verwaltung und Justiz,,Zuständigkeiten Gerichte,,,,,Ehegericht,,,,,,)",,,
BER.01.001.0008,,BER.01.001,Schultheiß und Kleiner und Großer Rat der Stadt Bern,,EV,1528,1798,BER,BER,01,Bern,,,Eidgenössischer Ort,WL,EV,,7,Claudia Schott-Volm,,,,1529.03.30,,1529-03-30,1529,3,30,Ordnung und Satzung,,,,"StAB, A I 479, fol. 27v-31r","Ordnunng unnd Satzung beträffennd Schwerenn, Zutrinnckenn, Spilenn und die zerhouwnenn Khleyder.",,,"(BER.01.001.0008.00024.0,,1.1,Religionsangelegenheiten,,Gotteslästerung,,,,,Gott; Schwören & Fluchen,Osterzistag. Den Amtleuten zugesandt mit Begleitschreiben vom 21.04.1529,,,,,),(BER.01.001.0008.00027.0,,1.4,Aufwand und Luxus,,Kleidung,,,,,Kleidung; Hosen,,,,,,),(BER.01.001.0008.00026.0,,2.1,Vergnügungen; Öffentliche Leichtfertigkeit,,Glücksspiel,,,,,Verbot,,,,,,),(BER.01.001.0008.00025.0,,2.1,Vergnügungen; Öffentliche Leichtfertigkeit,,Zutrinken/Trunksucht,,,,,Allgemeinheit; Geistliche; Amtleute; Fremde,,,,,,),(BER.01.001.0008.00029.0,,2.2,Öffentliche Sicherheit; Kriminalität,,Waffenführung,,,,,Degen; Waffen; Messer,,,,,,),(BER.01.001.0008.00028.0,,4.5,Handwerk und Gewerbe,,Schneider,,,,,Kleidung; Herstellung,,,,,,)",,,
